P8_ID;P8_MBA_A_Haushalt;P8_B4P_P_ALTER_18_29
01067005;574;17.41
01067010;600;17.94
01067015;653;25.18
01067020;1095;15.2
01067025;1001;12.65
01067030;664;10.76
01067035;469;14.78
01067040;568;32.55
01067045;900;31.09
01067050;1196;30.79
01069005;104;9.12
01069010;789;11.22
01069015;589;23
01069020;1007;21.19
01069025;832;17.09
01069030;8;13.79
01069035;424;8.26
01069040;1032;18.53
01069045;375;36.65
01069050;1119;11.75
01069055;388;14.62
01069060;1141;29.39
01069065;1116;15.15
01069070;222;37.74
01069075;778;22.61
01069080;587;30.18
01069085;505;19.9
01069090;775;20.03
01069095;366;10.86
01069100;470;14.93
01069105;461;21.5
01069110;601;20.33
01097005;1047;26.7
01097010;977;18.08
01097015;482;33.5
01097020;889;32.93
01097025;851;48.54
01097030;1420;41.92
01097035;1042;51.68
01097040;903;30.29
01097045;757;46.09
01097050;893;45.48
01099005;858;50.4
01099010;628;20.15
01099015;700;19.31
01099020;411;50.37
01099025;440;35.92
01099035;1158;49.65
01099040;1026;52.49
01099050;1123;50.01
01099060;1286;31.79
01099070;985;21.26
01099075;1086;20.32
01099080;589;53.8
01099085;424;46.71
01099090;430;59.48
01099095;761;44.44
01099100;539;58.9
01099105;511;39.37
01099110;746;47.64
01099115;649;40.22
01099120;668;43.18
01099125;644;58.06
01099130;433;23.68
01099135;535;15.57
01099140;1120;31.82
01108005;334;8.12
01108010;665;11.45
01108015;814;8.06
01108020;891;10.46
01109005;1023;11.59
01109010;994;10.18
01109015;750;13.82
01109020;703;11.61
01109025;595;8.35
01109030;898;15.63
01109035;1171;11.37
01109040;1035;8.69
01109045;845;14.49
01109050;894;17.05
01109055;1086;10.27
01109060;937;12.92
01109065;8;10.46
01127005;627;40.7
01127010;1677;35.85
01127015;885;37.67
01127020;1128;35.69
01127025;943;32.91
01127030;1063;32.84
01127035;7;4.37
01127040;52;24.77
01127045;70;45.1
01127050;1368;30.05
01127055;191;42.47
01127060;748;12.92
01129005;975;24.63
01129010;920;19.58
01129015;629;20.43
01129020;837;19.42
01129025;740;14.45
01129030;675;9.81
01129035;457;14.3
01129040;434;16.65
01129045;457;16.34
01129050;564;12.16
01129055;667;31.66
01129060;1038;35.73
01129065;929;23.98
01129070;1084;29.46
01129075;436;13.42
01139005;7;41.39
01139010;1118;22.03
01139015;785;29.09
01139020;992;23.3
01139025;1398;19.84
01139030;1316;17.6
01139035;738;26.74
01139040;722;27.32
01139045;884;19.83
01139050;707;27.97
01139055;743;11.67
01139060;670;11.97
01139065;79;5.35
01156005;140;8.82
01156010;603;10.38
01156015;569;10.27
01156020;692;11.45
01156025;226;9.84
01156030;395;10.72
01156035;738;13.63
01156040;340;10.06
01156045;1194;14.16
01156050;215;9.38
01156055;284;7.67
01156060;166;6.86
01156065;429;21.45
01157005;209;31.32
01157010;1021;25.65
01157015;577;31.75
01157020;682;13.62
01157025;1006;25.86
01157030;1446;16.77
01157035;696;24.29
01157040;535;27.61
01157045;824;20.14
01157050;553;17.34
01157055;631;11.98
01157060;1194;14.19
01157065;920;11.55
01157070;858;13.32
01157075;593;11.79
01157080;147;5.25
01159005;557;39.49
01159010;1082;42.89
01159015;747;37.71
01159020;822;23.83
01159025;724;37.87
01159030;790;26
01159035;309;24.84
01159040;292;15.54
01159045;561;11.79
01159050;696;24.23
01159055;564;34.22
01159060;765;18.25
01159065;986;37.51
01159070;738;24.27
01159075;1232;40.24
01159080;619;31.72
01159085;544;28.38
01159090;685;25.45
01159095;944;37.1
01159100;427;26.31
01159105;550;36.42
01159110;323;29.65
01159120;462;12.79
01159125;255;14.87
01159130;505;17.49
01169005;50;23.98
01169010;853;15.9
01169015;477;11.99
01169020;297;20.3
01169025;534;18.18
01169035;827;17.76
01169040;386;18.16
01169045;620;31.35
01169050;634;17.76
01169055;805;16.58
01169060;726;12.26
01169065;21;5.32
01169070;825;17.96
01169075;354;20.57
01169080;368;22.42
01169085;112;14.93
01169090;561;21.15
01169095;737;13.55
01169100;722;26.63
01169105;265;15.39
01169110;316;13.15
01187005;236;11.83
01187010;151;23.63
01187015;588;26.4
01187020;868;18.89
01187025;608;15.63
01187030;723;23.74
01187035;1445;12.22
01187040;1327;24.34
01187045;941;13.57
01187050;586;11.42
01187055;158;15.4
01187060;32;21.23
01187065;303;32.23
01187070;949;7.61
01189005;792;8.91
01189010;644;14.4
01189015;1150;20.97
01189020;637;14.1
01189025;932;15.88
01189030;1224;14.59
01217005;916;37.42
01217010;589;9.19
01217015;752;8.38
01217020;784;16.95
01217025;629;12.87
01217030;173;36.46
01217035;747;14.01
01217040;763;10.69
01217045;381;14.44
01217050;680;6.86
01217055;255;5.08
01217060;466;14.98
01217065;875;8.6
01217070;930;9.36
01219005;847;16.29
01219010;344;12.84
01219015;1319;18.76
01219020;403;24.41
01219025;338;23.83
01219030;704;24.09
01219035;486;18.49
01219040;951;16.05
01219045;757;16.2
01219050;853;29.13
01219055;688;17.18
01219060;688;12.96
01219065;794;13.37
01219070;645;10.97
01219075;857;20.01
01219080;885;9.83
01219086;135;5.35
01219087;471;8.65
