P8_ID;P8_MBA_A_Haushalt;P8_B4P_P_STUDENTEN
01067005;574;4.77
01067010;600;4.19
01067015;653;6.76
01067020;1095;4.41
01067025;1001;3.16
01067030;664;1.4
01067035;469;3.36
01067040;568;6.45
01067045;900;4.81
01067050;1196;6.33
01069005;104;2.65
01069010;789;2.91
01069015;589;3.46
01069020;1007;4.39
01069025;832;3.27
01069030;8;3.51
01069035;424;3
01069040;1032;4.92
01069045;375;9.58
01069050;1119;2.06
01069055;388;4.6
01069060;1141;7.76
01069065;1116;5.73
01069070;222;7.32
01069075;778;6.56
01069080;587;4.69
01069085;505;2.4
01069090;775;4.79
01069095;366;3.27
01069100;470;5.55
01069105;461;3.85
01069110;601;3.87
01097005;1047;5.53
01097010;977;5.16
01097015;482;6.77
01097020;889;5.17
01097025;851;8.48
01097030;1420;7.9
01097035;1042;8.94
01097040;903;4.03
01097045;757;7.68
01097050;893;7.64
01099005;858;9.11
01099010;628;6.49
01099015;700;3.96
01099020;411;8.67
01099025;440;7.46
01099035;1158;8.63
01099040;1026;9.35
01099050;1123;8.65
01099060;1286;7.44
01099070;985;5.32
01099075;1086;6.81
01099080;589;9.5
01099085;424;7.94
01099090;430;9.8
01099095;761;7.21
01099100;539;9.83
01099105;511;7.41
01099110;746;7.7
01099115;649;8.05
01099120;668;7.98
01099125;644;9.63
01099130;433;5.5
01099135;535;3.76
01099140;1120;7.5
01108005;334;2.17
01108010;665;2.75
01108015;814;0.93
01108020;891;4.6
01109005;1023;4.95
01109010;994;5.43
01109015;750;5.2
01109020;703;6.15
01109025;595;2.67
01109030;898;5.06
01109035;1171;1.78
01109040;1035;0.89
01109045;845;4.64
01109050;894;5.35
01109055;1086;2.68
01109060;937;4.91
01109065;8;1.58
01127005;627;8.04
01127010;1677;6.99
01127015;885;6.77
01127020;1128;6.65
01127025;943;6.19
01127030;1063;6.52
01127035;7;0
01127040;52;5.16
01127045;70;8.2
01127050;1368;5.48
01127055;191;6.68
01127060;748;2.16
01129005;975;4.65
01129010;920;4.32
01129015;629;3.47
01129020;837;6.15
01129025;740;3.72
01129030;675;2.4
01129035;457;2.31
01129040;434;2.69
01129045;457;4.93
01129050;564;3.01
01129055;667;5.16
01129060;1038;7.24
01129065;929;5.23
01129070;1084;6.69
01129075;436;5.33
01139005;7;6.48
01139010;1118;3.21
01139015;785;5.32
01139020;992;3.51
01139025;1398;3.04
01139030;1316;2.2
01139035;738;3.48
01139040;722;4.04
01139045;884;2.7
01139050;707;4.58
01139055;743;2.15
01139060;670;2.39
01139065;79;3.09
01156005;140;1.42
01156010;603;3.62
01156015;569;4.13
01156020;692;2.09
